pygame 2.6.1 (SDL 2.28.4, Python 3.12.6)
Hello from the pygame community. https://www.pygame.org/contribute.html

=== POWER PELLET EATEN! ===
  blinky: mode=frightened, pos=(21,8), in_house=False, eaten=False, dir=(0, -1), speed=1.0
  pinky: mode=frightened, pos=(10,11), in_house=False, eaten=False, dir=(1, 0), speed=1.0
  inky: mode=frightened, pos=(11,14), in_house=False, eaten=False, dir=(0, 1), speed=1.0
  clyde: mode=frightened, pos=(13,14), in_house=False, eaten=False, dir=(1, 0), speed=1.0
  blinky: after update -> pos=(21,8), mode=frightened, in_house=False, eaten=False, dir=(0, -1), speed=1.0, fright_timer=299
  pinky: after update -> pos=(10,11), mode=frightened, in_house=False, eaten=False, dir=(1, 0), speed=1.0, fright_timer=299
  inky: after update -> pos=(11,14), mode=frightened, in_house=False, eaten=False, dir=(0, 1), speed=1.0, fright_timer=299
  clyde: after update -> pos=(13,14), mode=frightened, in_house=False, eaten=False, dir=(1, 0), speed=1.0, fright_timer=299
  blinky: after update -> pos=(21,8), mode=frightened, in_house=False, eaten=False, dir=(0, -1), speed=1.0, fright_timer=298
  pinky: after update -> pos=(10,11), mode=frightened, in_house=False, eaten=False, dir=(1, 0), speed=1.0, fright_timer=298
  inky: after update -> pos=(11,14), mode=frightened, in_house=False, eaten=False, dir=(0, 1), speed=1.0, fright_timer=298
  clyde: after update -> pos=(13,14), mode=frightened, in_house=False, eaten=False, dir=(1, 0), speed=1.0, fright_timer=298
  blinky: after update -> pos=(21,8), mode=frightened, in_house=False, eaten=False, dir=(0, -1), speed=1.0, fright_timer=297
  pinky: after update -> pos=(10,11), mode=frightened, in_house=False, eaten=False, dir=(1, 0), speed=1.0, fright_timer=297
  inky: after update -> pos=(11,14), mode=frightened, in_house=False, eaten=False, dir=(0, 1), speed=1.0, fright_timer=297
  clyde: after update -> pos=(13,14), mode=frightened, in_house=False, eaten=False, dir=(1, 0), speed=1.0, fright_timer=297
  blinky: after update -> pos=(21,8), mode=frightened, in_house=False, eaten=False, dir=(0, -1), speed=1.0, fright_timer=296
  pinky: after update -> pos=(10,11), mode=frightened, in_house=False, eaten=False, dir=(1, 0), speed=1.0, fright_timer=296
  inky: after update -> pos=(11,14), mode=frightened, in_house=False, eaten=False, dir=(0, 1), speed=1.0, fright_timer=296
  clyde: after update -> pos=(13,14), mode=frightened, in_house=False, eaten=False, dir=(1, 0), speed=1.0, fright_timer=296
  blinky: after update -> pos=(21,8), mode=frightened, in_house=False, eaten=False, dir=(0, -1), speed=1.0, fright_timer=295
  pinky: after update -> pos=(10,11), mode=frightened, in_house=False, eaten=False, dir=(1, 0), speed=1.0, fright_timer=295
  inky: after update -> pos=(11,14), mode=frightened, in_house=False, eaten=False, dir=(0, 1), speed=1.0, fright_timer=295
  clyde: after update -> pos=(13,14), mode=frightened, in_house=False, eaten=False, dir=(1, 0), speed=1.0, fright_timer=295
  blinky: after update -> pos=(21,8), mode=frightened, in_house=False, eaten=False, dir=(0, -1), speed=1.0, fright_timer=294
  pinky: after update -> pos=(10,11), mode=frightened, in_house=False, eaten=False, dir=(1, 0), speed=1.0, fright_timer=294
  inky: after update -> pos=(11,14), mode=frightened, in_house=False, eaten=False, dir=(0, 1), speed=1.0, fright_timer=294
  clyde: after update -> pos=(13,14), mode=frightened, in_house=False, eaten=False, dir=(1, 0), speed=1.0, fright_timer=294
  blinky: after update -> pos=(21,8), mode=frightened, in_house=False, eaten=False, dir=(0, -1), speed=1.0, fright_timer=293
  pinky: after update -> pos=(10,11), mode=frightened, in_house=False, eaten=False, dir=(1, 0), speed=1.0, fright_timer=293
